2.935519,-1.999897,30;2.235520,-1.999878,30;1.535520,-1.999851,30;0.835520,-1.999809,30;0.135520,-1.999734,30;-0.564479,-1.999569,30;-1.264479,-1.999539,30;-1.950849,-1.999630,30;
2.933209,-1.999894,31;2.233209,-1.999875,31;1.533209,-1.999847,31;0.833209,-1.999804,31;0.133210,-1.999727,31;-0.566789,-1.999558,31;-1.266789,-1.999527,31;-1.950849,-1.999630,31;
2.930899,-1.999891,32;2.230899,-1.999872,32;1.530899,-1.999843,32;0.830899,-1.999799,32;0.130900,-1.999720,32;-0.569100,-1.999546,32;-1.269099,-1.999515,32;-1.950849,-1.999630,32;
2.928589,-1.999889,33;2.228589,-1.999868,33;1.528589,-1.999839,33;0.828589,-1.999794,33;0.128589,-1.999713,33;-0.571410,-1.999535,33;-1.271410,-1.999503,33;-1.950849,-1.999630,33;
2.926279,-1.999886,34;2.226279,-1.999865,34;1.526279,-1.999836,34;0.826279,-1.999789,34;0.126279,-1.999706,34;-0.573720,-1.999524,34;-1.273720,-1.999492,34;-1.950849,-1.999630,34;
2.923968,-1.999884,35;2.223968,-1.999862,35;1.523968,-1.999832,35;0.823969,-1.999784,35;0.123969,-1.999700,35;-0.576030,-1.999514,35;-1.276030,-1.999481,35;-1.950849,-1.999630,35;
2.921658,-1.999881,36;2.221658,-1.999859,36;1.521658,-1.999828,36;0.821658,-1.999779,36;0.121659,-1.999693,36;-0.578340,-1.999503,36;-1.278340,-1.999470,36;-1.950849,-1.999630,36;
2.919348,-1.999879,37;2.219348,-1.999856,37;1.519348,-1.999825,37;0.819348,-1.999775,37;0.119348,-1.999687,37;-0.580651,-1.999493,37;-1.280650,-1.999459,37;-1.950849,-1.999630,37;
2.917038,-1.999876,38;2.217038,-1.999854,38;1.517038,-1.999821,38;0.817038,-1.999770,38;0.117038,-1.999680,38;-0.582961,-1.999483,38;-1.282961,-1.999448,38;-1.950849,-1.999630,38;
2.914727,-1.999874,39;2.214727,-1.999851,39;1.514728,-1.999818,39;0.814728,-1.999766,39;0.114728,-1.999674,39;-0.585271,-1.999473,39;-1.285271,-1.999438,39;-1.950849,-1.999630,39;
2.912417,-1.999871,40;2.212417,-1.999848,40;1.512417,-1.999814,40;0.812417,-1.999762,40;0.112418,-1.999668,40;-0.587581,-1.999464,40;-1.287581,-1.999428,40;-1.950849,-1.999630,40;
2.910107,-1.999869,41;2.210107,-1.999845,41;1.510107,-1.999811,41;0.810107,-1.999757,41;0.110108,-1.999662,41;-0.589891,-1.999454,41;-1.289891,-1.999418,41;-1.950849,-1.999630,41;
2.907797,-1.999867,42;2.207797,-1.999843,42;1.507797,-1.999808,42;0.807797,-1.999753,42;0.107797,-1.999657,42;-0.592202,-1.999445,42;-1.292201,-1.999408,42;-1.950849,-1.999630,42;
2.905486,-1.999865,43;2.205487,-1.999840,43;1.505487,-1.999805,43;0.805487,-1.999749,43;0.105487,-1.999651,43;-0.594512,-1.999436,43;-1.294512,-1.999399,43;-1.950849,-1.999630,43;
2.903176,-1.999862,44;2.203176,-1.999837,44;1.503176,-1.999801,44;0.803177,-1.999745,44;0.103177,-1.999645,44;-0.596822,-1.999427,44;-1.296822,-1.999390,44;-1.950849,-1.999630,44;
2.900866,-1.999860,45;2.200866,-1.999835,45;1.500866,-1.999798,45;0.800866,-1.999741,45;0.100867,-1.999640,45;-0.599132,-1.999418,45;-1.299132,-1.999381,45;-1.950849,-1.999630,45;
2.898556,-1.999858,46;2.198556,-1.999832,46;1.498556,-1.999795,46;0.798556,-1.999737,46;0.098556,-1.999635,46;-0.601442,-1.999410,46;-1.301442,-1.999372,46;-1.950849,-1.999630,46;
2.896246,-1.999856,47;2.196246,-1.999830,47;1.496246,-1.999792,47;0.796246,-1.999734,47;0.096246,-1.999629,47;-0.603753,-1.999401,47;-1.303752,-1.999363,47;-1.950849,-1.999630,47;
2.893935,-1.999854,48;2.193935,-1.999828,48;1.493935,-1.999789,48;0.793936,-1.999730,48;0.093936,-1.999624,48;-0.606063,-1.999393,48;-1.306063,-1.999355,48;-1.950849,-1.999630,48;
2.891625,-1.999852,49;2.191625,-1.999825,49;1.491625,-1.999787,49;0.791625,-1.999726,49;0.091626,-1.999619,49;-0.608373,-1.999385,49;-1.308373,-1.999346,49;-1.950849,-1.999630,49;
2.889315,-1.999850,50;2.189315,-1.999823,50;1.489315,-1.999784,50;0.789315,-1.999723,50;0.089315,-1.999614,50;-0.610683,-1.999377,50;-1.310683,-1.999338,50;-1.950849,-1.999630,50;
2.887005,-1.999848,51;2.187005,-1.999821,51;1.487005,-1.999781,51;0.787005,-1.999719,51;0.087005,-1.999610,51;-0.612994,-1.999369,51;-1.312993,-1.999330,51;-1.950849,-1.999630,51;
2.884694,-1.999846,52;2.184694,-1.999819,52;1.484695,-1.999778,52;0.784695,-1.999716,52;0.084695,-1.999605,52;-0.615304,-1.999362,52;-1.315304,-1.999323,52;-1.950849,-1.999630,52;
